股票代码,企业名称,年份,数字化转型指数(0-100分),人工智能词频数,大数据词频数,云计算词频数,区块链词频数,数字技术运用词频数,总词频数
000921,海信家电,2000,0,0,0,0,0,0,0
600000,浦发银行,2000,0,0,0,0,0,0,0
600001,邯郸钢铁,2000,0,0,0,0,0,0,0
600002,齐鲁石化,2000,0,0,0,0,0,0,0
600003,东北高速,2000,0,0,0,0,0,0,0
600005,武钢股份,2000,0,0,0,0,0,0,0
600006,东风汽车,2000,0,0,0,0,0,0,0
600007,中国国贸,2000,0,0,0,0,0,0,0
600008,首创股份,2000,0,0,0,0,0,0,0
600009,上海机场,2000,0,0,0,0,0,0,0
600010,钢联股份,2000,0,0,0,0,0,0,0
600016,民生银行,2000,0,0,0,0,0,1,1
600018,上港集箱,2000,0,0,0,0,0,0,0
600019,宝钢股份,2000,1,0,0,0,0,7,7
600033,福建高速,2000,0,0,0,0,0,0,0
600037,歌华有线,2000,0,0,1,0,0,1,2
600038,哈飞股份,2000,0,0,0,0,0,0,0
600051,宁波联合,2000,0,0,0,0,0,0,0
600052,浙江广厦,2000,0,0,0,0,0,1,1
600053,江西纸业,2000,0,0,0,0,0,0,0
600054,黄山旅游,2000,0,0,0,0,0,1,1
600055,万东医疗,2000,0,0,0,0,0,0,0
600056,中技贸易,2000,0,0,0,0,0,0,0
600057,ST厦新,2000,0,0,0,0,0,0,0
600058,龙腾科技,2000,1,0,0,0,0,11,11
600059,古越龙山,2000,0,0,0,0,0,0,0
600060,海信电器,2000,0,0,0,0,0,1,1
600061,中纺投资,2000,0,0,0,0,0,0,0
600062,双鹤药业,2000,0,0,0,0,0,0,0
600063,皖维高新,2000,0,0,0,0,0,0,0
600064,南京高科,2000,0,0,0,0,0,0,0
600065,大庆联谊,2000,0,0,0,0,0,0,0
600066,宇通客车,2000,0,0,0,0,0,0,0
600067,福州大通,2000,0,0,0,0,0,0,0
600068,葛洲坝,2000,0,0,0,0,0,0,0
600069,银鸽投资,2000,0,0,0,0,0,0,0
600070,浙江富润,2000,0,0,0,0,0,0,0
600071,凤凰光学,2000,0,0,0,0,0,0,0
600072,江南重工,2000,0,0,0,0,0,0,0
600073,上海梅林,2000,1,0,0,0,0,10,10
600074,南京中达,2000,0,0,0,0,0,0,0
600075,新疆天业,2000,0,0,0,0,0,4,4
600076,青鸟华光,2000,0,0,0,0,0,0,0
600077,国能集团,2000,0,0,0,0,0,3,3
600078,澄星股份,2000,0,0,0,0,0,0,0
600079,人福科技,2000,0,0,0,0,0,0,0
600080,金花股份,2000,0,1,0,0,0,0,1
600081,东风科技,2000,0,0,0,0,0,1,1
600082,海泰发展,2000,0,0,0,0,0,0,0
600083,ST红光,2000,0,0,0,0,0,0,0
600084,新天国际,2000,0,0,0,0,0,0,0
600085,同仁堂,2000,0,0,0,0,0,4,4
600086,多佳股份,2000,0,0,0,0,0,0,0
600087,南京水运,2000,0,0,0,0,0,0,0
600088,中视传媒,2000,0,0,0,0,0,1,1
600089,特变电工,2000,0,0,0,0,0,2,2
600090,啤酒花,2000,0,0,0,0,0,0,0
600091,明天科技,2000,1,0,0,0,0,6,6
600092,精密股份,2000,0,0,0,0,0,0,0
600093,禾嘉股份,2000,0,0,0,0,0,0,0
600094,华源股份,2000,0,0,0,0,0,0,0
600095,哈高科,2000,0,0,0,0,0,0,0
600096,云天化,2000,0,0,0,0,0,0,0
600097,华立科技,2000,0,0,0,0,0,0,0
600098,广州控股,2000,0,0,0,0,0,1,1
600099,林海股份,2000,0,0,0,0,0,0,0
600100,清华同方,2000,1,0,0,0,0,7,7
600101,明星电力,2000,0,0,0,0,0,0,0
600102,莱钢股份,2000,0,0,0,0,0,0,0
600103,青山纸业,2000,0,0,0,0,0,0,0
600104,上海汽车,2000,0,0,0,0,0,0,0
600105,永鼎光缆,2000,0,0,0,0,0,0,0
600106,重庆路桥,2000,0,0,0,0,0,1,1
600107,美尔雅,2000,0,0,0,0,0,1,1
600108,亚盛集团,2000,0,0,0,0,0,0,0
600109,ST成百,2000,0,0,0,0,0,0,0
600110,长春热缩,2000,0,0,0,0,0,0,0
600111,稀土高科,2000,0,0,0,0,0,0,0
600112,长征电器,2000,0,0,0,0,0,0,0
600113,浙江东日,2000,0,0,0,0,0,0,0
600115,东方航空,2000,0,0,0,0,0,2,2
600116,三峡水利,2000,0,0,0,0,0,0,0
600117,西宁特钢,2000,0,0,0,0,0,0,0
600118,中国泛旅,2000,0,0,0,0,0,3,3
600119,长江投资,2000,0,0,0,0,0,0,0
600120,浙江东方,2000,0,0,0,0,0,0,0
600121,郑州煤电,2000,0,0,0,0,0,1,1
